A MINHA TERRA;ALAIN CORBEL E JO«O PAULO COTRIM;;;;
A MINHA VIDA ê UM FILME;PAULA PIMENTA;;;;
A MINHA VIDA ê UM FILME ;PAULA PIMENTA;;;;
A MONTANHA DE LIVROS MAIS ALTA DO MUNDO;ROCIO BONILLA;;;;
A MORCEGUITA DESTRAMBELHADA;ISABEL RICARDO;;;;
A MOSQUITO;IN“S DE OLIVEIRA;;;;
A MÈMIA SEM NOME;GERONIMO STILTON;;;;
A NAMORADA JAPONESA DO MEU AV‚;JOSê FANHA;;;;
A NASCENTE DE TINTA;PEDRO SEROMENHO;;;;
A NATUREZA- RESPOSTAS ∑S PERGUNTAS DAS CRIANÄAS;EMMANUELLE PAROISSIEN;;;;
A NOITE DE NATAL;CLEMENT C. MOORE;;;;
A NOITE DE NATAL;SOPHIA DE MELLO BREYNER ANDRESEN;;;;
A NOITE DE NATAL ;SOPHIA DE MELLO BREYNER ANDRESEN;;;;
A NOITE DE NATAL DO OLAF;JESSICA JULIUS;;;;
A NOITE DE NATAL DO PALHAÄO JO«O-SURPRESA;DUGALD STEER;;;;
A NOITE DOS ANIMAIS INVENTADOS;DAVID MACHADO;;;;
A ODISSEIA DE HOMERO;JO«O DE BARROS;;;;
A OFICINA DO PAI NATAL;CRISTINA QUENTAL E MARIANA MAGALH«ES;;;;
A OFICINA DO SENHOR SARAIVA;ANA NOBRE DE GUSM«O;;;;
A ORQUESTRA;AVALON;;;;
A OVELHA  QUE CHOCOU UM OVO;GEMMA MERINO;;;;
A OVELHA CURIOSA;ANA MARIA MAGALH«ES E ISABEL ALÄADA;;;;
A OVELHA QUE FAZIA MÈUU!;ISABEL FERNANDES PINTO;;;;
A OVELHINHA PRETA;ELIZABETH SHAW;;;;
A OVELHINHA PRETA ;ELIZABETH SHAW;;;;
A OVELHINHA QUE VEIO PARA O JANTAR;STEVE SMALLMAN;;;;
A PAIX«O DO EUROPEU;PAULO CATARRO;;;;
A PEQUENA  SEREIA;HANS CHRISTIAN ANDERSEN;;;;
A PEQUENA µRVORE DE NATAL- UMA HIST‡RIA DE NATAL COM UM TOQUE DE MAGIA;DUGALD STEER;;;;
A PEQUENA SEMENTE;ERIC CARLE;;;;
A PEQUENA SEREIA;ANA OOM;;;;
A PEQUENA SEREIA;HANS CHRISTIAN ANDERSEN;;;;
A PEQUENA SEREIA;MEGAN E. BRYANT;;;;
A PEQUENA SEREIA;VµRIOS;;;;
A PEQUENA SEREIA;WALT DISNEY;;;;
A PIOR AMIGA;FERNANDO CARVALHO;;;;
A PIOR BANDA DO MUNDO - VOL. 2;JOSê CARLOS FERNANDES;;;;
A PRIMEIRA NOITE DE AULAS;JO HOESTLANDT;;;;
A PRINCESA BAIXINHA;BEATRICE MASINI;;;;
A PRINCESA CARLOTA E O BAILE DE ANIVERSµRIO;VIVIAN FRENCH;;;;
A PRINCESA CATARINA E O P‡NEI PRATEADO;VIVIAN FRENCH;;;;
A PRINCESA DA CHUVA;LU÷SA DACOSTA;;;;
A PRINCESA DA NEVE;EMILY HAWKINS;;;;
A PRINCESA E A ERVILHA;HANS CHRISTIAN ANDERSEN;;;;
A PRINCESA E A ERVILHA E OUTROS CONTOS;HANS CHRISTIAN ANDRESEN;;;;
A PRINCESA E A PORQUINHA;POLY BERNATENE E M. SANTOS CORREIA;;;;
A PRINCESA E O SAPO;ANA OOM;;;;
A PRINCESA E O SAPO;ANA SALDANHA;;;;
A PRINCESA E O SAPO;WALT DISNEY;;;;
A PRINCESA E O SAPO;WILL EISNER;;;;
A PRINCESA E O UNIC‡RNIO;NICOLA BAXTER;;;;
A PRINCESA EM BUSCA DA FELICIDADE ;ULF STARK;;;;
A PRINCESA QUE N«O SABIA ESPIRRAR;JOSê CA•AS;;;;
A PRINCESA QUE QUERIA SER REI;SARA MONTEIRO;;;;
∑ PROCURA DE CASA;GERONIMO STILTON;;;;
∑ PROCURA DE NEMO;WALT DISNEY;;;;
A QUE SABE A LUA? ;MICHAEL GREJNIEC;;;;
A QUINTA DO SENHOR FRANCISCO;DELPHINE LACHARRON;;;;
A QUINTA DOS ANIMAIS;GEORGE ORWELL;;;;
A R« ATREVIDA ;ANA MARIA MAGALH«ES E ISABEL ALÄADA;;;;
A R« QUE QUERIA SER MAIOR DO QUE O BOI;LA FONTAINE;;;;
A RAINHA DA NEVE;HANS CHRISTIAN ANDERSEN;;;;
A RAINHA DO NORTE;JOANA ESTRELA;;;;
A RAPARIGA DA LIVRARIA;SYLVIA BISHOP;;;;
A RAPARIGA E O SONHO;LU÷SA DACOSTA;;;;
A RAPARIGA REBELDE - AVENTURAS NA ESCOLA;ENID BLYTON;;;;
A RAPARIGA REBELDE BRILHA NA ESCOLA ;ENID BLYTON;;;;
A RAPARIGA REBELDE QUER VENCER;ENID BLYTON;;;;
A RAPOSA - UMA HIST‡RIA SOBRE O CICLO DA VIDA ;ISABEL THOMAS E DANIEL EGNEU;;;;
A RAPOSA AZUL;ANA MARIA MAGALH«ES E ISABEL ALÄADA;;;;
A RAPOSA DAS BOTAS ALTAS;ANT‡NIO TORRADO;;;;
A RAPOSA E A CEGONHA;MAIRI MASHINNON;;;;
A RAPOSINHA MATREIRA TORNOU-SE CANTADEIRA;CARLOS NUNO GRANJA;;;;
A REVOLTA DOS VEGETAIS;DAVID ACEITUNO;;;;
A RIMA DO ROMEU;ERIC MANY;;;;
A RITA ENCOLHEU, E AGORA?;MARTA HUGON;;;;
A RODA DOS ANIMAIS;JOHNNY MORRIS;;;;
A SAGA DO TIO PATINHAS ;DON ROSA;;;;
A SEMANA DOS NOVE DIAS;VERG÷LIO ALBERTO VIEIRA;;;;
A SEMENTE MµGICA;DANIEL MARQUES FERREIRA;;;;
A SINFONIA DOS ANIMAIS;DAN BROWN;;;;
A SOPA DE PEDRA;MIGUEL BORGES;;;;
A SOPA QUEIMA;PABLO ALBO;;;;
A SOPA VERDE;CHICO;;;;
A SURPRESA DE HANDA;EILEEN BROWNE;;;;
A TEIA DA CARLOTA;E.B.WHITE;;;;
A TEIA DE CARLOTA;E.B.WHITE;;;;
A TERRA DA MENTEMµTICA;PAULO SOUSA E IN“S GUIMAR«ES;;;;
A TERRA DO ARCO-÷RIS OU DO ARCO-DA-VELHA;CARLOS PAIX«O;;;;
A TERRA QUE O Z“ZERE ESCONDEU;ARMANDO COTRIM;;;;
A TERRA QUE O Z“ZERE ESCONDEU ;ARMANDO COTRIM;;;;
A TERR÷VEL TIA ALBERTA;DAVID WALLIAMS;;;;
A TOUPEIRA QUE QUERIA SABER QUEM LHE FIZERA AQUILO NA CABEÄA;WERNER HOLZWARTH;;;;
A TROMPA DOURADA DO ELEFANTE GIGANTE;CARLOS NUNO GRANJA;;;;
A TURMA DA M‡NICA - CADA UM NA SUA HIST‡RIA;MAURICIO DE SOUSA;;;;
A ÈLTIMA MISS«O;CHANTAL DE SPIEGELEER;;;;
A ÈLTIMA VIAGEM DO NAVIO FANTASMA;GABRIEL GARC÷A MµRQUEZ;;;;
A VACA GORDINHA;DAVID PALOMA;;;;
A VACA QUE SUBIU A UMA µRVORE;GEMMA MERINO;;;;
A VERDADEIRA HIST‡RIA DE GERONIMO STILTON;CUSCACÈSQUI RATATZ;;;;
A VERDADEIRA HIST‡RIA DO PAI NATAL;ALEXANDRE SANTOS LOB«O;;;;
A VERDADEIRA HIST‡RIA DOS TR“S PORQUINHOS ;JON SCIESZKA E LANE SMITH;;;;
A VERDADEIRA VIDA DA FORMIGA RABIGA;VIOLETA FIGUEIREDO;;;;
A VIAGEM ;FRANCESCA SANNA;;;;
A VIAGEM DO SENHOR PNEU;VANDA COSTA;;;;
A VIAGEM FANTµSTICA DO PANDA;ULF STARK;;;;
A VIAGEM NO CARRO ENCARNADO;PEDRO LEIT«O;;;;
A VIAGEM NO TEMPO;ANA MARIA MAGALH«ES E ISABEL ALÄADA;;;;
A VIDA D÷FICIL DE UMA MANTEIGUEIRA;ISABEL ZAMBUJAL;;;;
A VIDA SECRETA DOS ANIMAIS NA QUINTA;MICHEL CUISIN;;;;
A VIDA SECRETA DOS ANIMAIS NOS LAGOS E NOS RIOS;MICHEL CUISIN;;;;
A VIÈVA E O PAPAGAIO;VIRGINIA WOOLF;;;;
A VIÈVA E O PAPAGAIO ;VIRGINIA WOOLF;;;;
A VOAR BEM ALTO ;TITANIA WOODS;;;;
A VOLTA ∑ GµLIA DE ASTêRIX;ALBERT UDERZO E RENê GOSCINNY;;;;
A VOLTA AO MUNDO EM 80 DIAS;JÈLIO VERNE;;;;
A VOLTA AO MUNDO EM 80 DIAS ;JÈLIO VERNE;;;;
